01862cwg6j 2018-05-12T03:29:57.232000Z AK.CHX.--.SHZ   2018-05-12T03:31:13.280000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.VRDI.--.BHZ  2018-05-12T03:31:14.752000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.SAMH.--.BHZ  2018-05-12T03:31:15.485000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.KIAG.--.BHZ  2018-05-12T03:31:15.768000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.GLB.--.BHZ   2018-05-12T03:31:16.105000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AV.N25K.--.BHZ  2018-05-12T03:31:16.481000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.SII.--.BHN   2018-05-12T03:31:16.887000Z S 
01862cwg6j 2018-05-12T03:29:57.232000Z AV.Q20K.--.BHE  2018-05-12T03:31:17.134000Z S 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.N18K.--.BHZ  2018-05-12T03:31:18.368000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.PTPK.--.BHZ  2018-05-12T03:31:18.588000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.PNL.--.BHZ   2018-05-12T03:31:19.768000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.BCP.--.BHZ   2018-05-12T03:31:20.117000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.CTG.--.BHZ   2018-05-12T03:31:20.308000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.BARN.--.BHZ  2018-05-12T03:31:20.508000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.LOGN.--.BHZ  2018-05-12T03:31:20.577000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z TA.M24K.--.BHZ  2018-05-12T03:31:20.633000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AV.WACK.--.BHZ  2018-05-12T03:31:22.283000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z TA.O28M.--.BHZ  2018-05-12T03:31:24.297000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.CNP.--.BHE   2018-05-12T03:31:25.834000Z S 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.HARP.--.BHZ  2018-05-12T03:31:26.159000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z TA.M18K.--.BHZ  2018-05-12T03:31:26.831000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.BRSE.--.BHN  2018-05-12T03:31:27.986000Z S 
01862cwg6j 2018-05-12T03:29:57.232000Z TA.P29M.--.BHZ  2018-05-12T03:31:28.828000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.P23K.--.BHE  2018-05-12T03:31:29.470000Z S 
